weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.8,12,10,0.1,0,0.9225529100529102,0.8205026455026456
0.2,5,10,0.1,0,0.9009920634920634,0.8066798941798942
0.5,5,10,0.1,0,0.9024966931216932,0.8052248677248677
0.8,5,10,0.1,0,0.9007771164021164,0.8047619047619048
0.2,100,7,0.1,0,0.931712962962963,0.831084656084656
0.5,100,7,0.1,0,0.930704365079365,0.8316137566137567
0.8,100,7,0.1,0,0.9311342592592593,0.8302248677248677
0.2,60,7,0.1,0,0.9008432539682539,0.818121693121693
0.5,60,7,0.1,0,0.9011243386243386,0.8183862433862433
0.8,60,7,0.1,0,0.9012070105820106,0.8205687830687831
0.2,30,7,0.1,0,0.8684027777777779,0.8021825396825397
0.5,30,7,0.1,0,0.8688492063492064,0.7999338624338623
0.8,30,7,0.1,0,0.8692625661375661,0.8011904761904762
0.2,12,7,0.1,0,0.8404100529100529,0.7811507936507935
0.5,12,7,0.1,0,0.8417493386243386,0.7810185185185186
0.8,12,7,0.1,0,0.839996693121693,0.7824735449735449
0.2,5,7,0.1,0,0.8246858465608465,0.7738756613756614
0.5,5,7,0.1,0,0.8226521164021164,0.771626984126984
0.8,5,7,0.1,0,0.823561507936508,0.7691137566137567
0.2,100,4,0.1,0,0.8159060846560846,0.7769179894179894
0.5,100,4,0.1,0,0.8160879629629629,0.7748015873015873
0.8,100,4,0.1,0,0.8159722222222223,0.7767857142857143
0.2,60,4,0.1,0,0.7813492063492062,0.7525132275132275
0.5,60,4,0.1,0,0.7829199735449734,0.7514550264550264
0.8,60,4,0.1,0,0.7823412698412697,0.7522486772486772
0.2,30,4,0.1,0,0.7533730158730159,0.7289682539682539
0.5,30,4,0.1,0,0.7523809523809523,0.7289682539682539
0.8,30,4,0.1,0,0.7525297619047618,0.7307539682539683
0.2,12,4,0.1,0,0.7308531746031746,0.7130291005291005
0.5,12,4,0.1,0,0.7317956349206349,0.7135582010582011
0.8,12,4,0.1,0,0.73057208994709,0.7156746031746032
0.2,5,4,0.1,0,0.7208994708994709,0.7056878306878306
0.5,5,4,0.1,0,0.7190806878306879,0.7048280423280423
0.8,5,4,0.1,0,0.7200892857142857,0.7037698412698412
0.2,100,2,0.1,0,0.7338458994708994,0.7200396825396826
0.5,100,2,0.1,0,0.7327050264550264,0.7191798941798941
0.8,100,2,0.1,0,0.7337301587301587,0.7200396825396826
0.2,60,2,0.1,0,0.7028439153439153,0.694973544973545
0.5,60,2,0.1,0,0.7030919312169311,0.6942460317460317
0.8,60,2,0.1,0,0.7035218253968253,0.6937169312169312
0.2,30,2,0.1,0,0.6722718253968254,0.6656084656084655
0.5,30,2,0.1,0,0.6716931216931217,0.6673280423280423
0.8,30,2,0.1,0,0.6713293650793651,0.6651455026455027
0.2,12,2,0.1,0,0.6542328042328043,0.6486772486772487
0.5,12,2,0.1,0,0.6539517195767195,0.6484126984126984
0.8,12,2,0.1,0,0.6538029100529099,0.6495370370370371
0.2,5,2,0.1,0,0.6425099206349206,0.6386904761904761
